MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,RMS,Zero_Crossing_Rate,label
-309.98834,136.64497,-21.613894,-3.4430249,3.0005434,11.991024,-19.22408,4.817416,-29.953186,-0.12095547,4.111857,12.65373,-10.119297,0.29770428,0.34188306,0.4160346,0.41500634,0.4520322,0.3560982,0.3122995,0.34986618,0.40004027,0.6010983,0.52374434,0.4119859,0.035171445,0.04823133680555555,elif
-307.58456,83.55768,-23.912327,8.322581,5.650856,-14.494172,-5.591865,-8.576946,2.0254588,11.900332,-6.5791745,-5.085291,-1.3277066,0.40069923,0.41501534,0.54852617,0.6005133,0.4528032,0.33291233,0.33009708,0.38264975,0.36589894,0.41873127,0.39607286,0.34744287,0.06396039,0.13363919399752475,elif
143.15694,31.12838,-9.027104,1.4126616,-5.82787,-3.3088121,-0.52858937,3.9115896,2.5200264,-5.6130853,-4.44763,-5.5624833,-5.9073577,0.3454255,0.43868744,0.4201419,0.4200511,0.42651492,0.39086327,0.43314376,0.4042147,0.4743884,0.6207471,0.4893392,0.33619398,0.94381887,0.17494910871478872,elif
-314.3791,98.75917,-18.115704,8.369417,6.576211,9.892122,-15.592571,5.9404078,-23.71648,2.554991,1.2052716,8.464404,-7.709857,0.3772148,0.4202225,0.41860977,0.45522514,0.46155038,0.39206317,0.43099555,0.44927108,0.55579346,0.6421735,0.53286725,0.3987036,0.063091464,0.12127728834219859,elif
-295.48215,93.69615,-27.446629,29.063274,18.421036,6.412484,-31.236734,2.9251337,-27.126095,-0.07355446,-1.29375,7.214431,-12.024048,0.338886,0.4147163,0.34981653,0.33129585,0.3395842,0.30023617,0.27644798,0.30548778,0.42471412,0.48744726,0.3224774,0.23062833,0.05579492,0.11754092261904762,elif
-359.1473,173.43932,-8.302276,3.5568042,3.2776682,-7.668023,19.932775,28.989397,-4.309916,5.7118425,10.178581,0.8421115,18.668705,0.4654251,0.4992597,0.5508371,0.539404,0.5245749,0.50509584,0.53651404,0.5078467,0.533858,0.4969089,0.42952567,0.39710864,0.053545788,0.03673932165556901,elif
135.0847,22.366938,-9.777659,3.4340644,-10.667681,-5.8826437,-0.22821641,1.4613285,3.2006407,-3.108999,-2.7566211,-4.446152,-4.9059563,0.40353736,0.41198307,0.284216,0.34049633,0.33894476,0.28096783,0.2947916,0.31567138,0.48763502,0.50627947,0.2920845,0.25040984,0.9890384,0.18520301496478872,elif
-295.33466,92.66217,-28.529501,28.006548,22.334913,3.9017625,-30.270529,3.916092,-25.985,-1.5937628,0.15881261,6.8404818,-10.738282,0.3130609,0.3863505,0.31406993,0.33919224,0.35205108,0.2773158,0.2831956,0.32530776,0.44439685,0.4976161,0.3246757,0.2290253,0.05589473,0.11032905308067376,elif
-315.90433,104.41586,-12.840159,16.997313,6.647523,9.108665,-16.220234,1.2929796,-37.878265,-7.461762,1.0103457,8.920995,-2.334693,0.29652247,0.27452293,0.29066244,0.3768007,0.4459427,0.39788276,0.25665826,0.17807622,0.18802156,0.22104268,0.24687329,0.2915588,0.059694894,0.10073904263771187,elif
-365.52975,148.01112,-12.730655,21.174292,6.2811413,4.7541633,19.110191,-10.14581,2.3402436,21.389761,5.145634,8.892264,-7.7665663,0.39890248,0.44240588,0.47437856,0.44537544,0.35267103,0.30017817,0.31430653,0.35591012,0.35693324,0.36593962,0.38551694,0.41243613,0.055121142,0.04922515368852459,elif
